B1	B2	B3
9051	2576	abhisamAyam
6591	1876	abhisamAyukta
14819	4236	abhisambaddha
24849	7106	abhisambaddha
24369	6964	abhisambandh
22888	6536	abhisaMcar
11677	3327	abhisaMdhAya
23364	6675	abhisaMdhi
26236	7520	abhisaMdhipUrvakam
399	103	abhisame
16671	4771	abhisaMgrah
10201	2902	abhisaMjJita
2415	677	abhisampad
2879	812	abhisampatti
26058	7471	abhisampUj
15462	4430	abhisaMrabdha
7201	2058	abhisaMrabdha
23832	6808	abhisaMsRta
17869	5114	abhisaMstambh
33605	9656	abhisaMtap
21564	6163	abhisamubj
10589	3021	abhisaMvR
5610	1597	abhisaMyoga
9589	2722	abhisandhaka
12190	3484	abhisatvan
7194	2057	abhiSavaNIs
8061	2307	abhiSiv
4320	1218	abhisphUrj
23068	6592	abhisR
1321	356	abhisRta
15448	4424	abhiSTan
11871	3387	abhiSTana
17093	4889	abhiSTimat
6244	1771	abhiSTu
19459	5566	abhiSTubh
7498	2140	abhiSTuvAna
18567	5317	abhiSU
13131	3751	abhiSU
33839	9730	abhisusUS
24478	6996	abhiSvaGgin
14612	4173	abhisvartR
21503	6145	abhiSyandamAna
22991	6566	abhisyandin
21353	6103	abhiSyat
1783	498	abhitADana
26704	7662	abhitAmra
22850	6524	abhitaMs
8487	2422	abhitaMs
20229	5790	abhitapta
29327	8423	abhitaSTIya
10073	2859	abhitazcara
19113	5472	abhitobhAvin
8009	2293	abhitRpta
1117	303	abhitRR
847	231	abhItvan
6144	1744	abhitvar
2196	618	abhitvar
16142	4625	abhivAdanazIla
24720	7069	abhivAdya
14103	4034	abhivam
32886	9459	abhivandya
24414	6976	abhivap
24342	6951	abhivarNana
9780	2779	abhivarNana
24807	7093	abhivarNita
6841	1953	abhivarta
11599	3300	abhivAsana
30652	8821	abhivAsas
7285	2078	abhivAzin
14070	4024	abhivI
34265	9857	abhivid
10909	3111	abhividIpita
31089	8954	abhivijJAya
2166	609	abhivikhyAta
24955	7137	abhivikrama
5542	1579	abhiviruc
21657	6187	abhiviSaJj
23066	6591	abhiviSThA
23362	6674	abhivoDhR
17956	5136	abhivRh
2471	694	abhivyAdAna
15454	4426	abhivyAharaNa
3367	951	abhivyaktam
3679	1046	abhivyAp
30076	8652	abhivye
17395	4977	abhiyAc
24828	7102	abhiyAcita
10623	3036	abhiyAcJA
3197	902	abhiyAna
11512	3279	abhiyAta
25376	7266	abhiyoga
29978	8623	abhiyudh
3850	1091	abhiyugvan
4993	1412	abhizaMs
14825	4238	abhizastaka
14022	4009	abhizastenya
32095	9233	abhizastikRt
27695	7952	abhizastipA
26543	7609	AbhIzava
33638	9669	AbhIzavottara
8016	2294	abhizvAsa
20902	5984	abhizyAna
22935	6549	abhizyAta
21766	6221	Abhogi
19220	5501	abhoktavya
1739	484	Abhra
7802	2241	abhragaGgA
2578	727	abhraka
7660	2194	abhralipta
31617	9093	abhralipta
11179	3190	abhraMliha
3056	865	abhraMliha
2198	619	abhrAnadhyAya
6430	1829	abhrapatha
23939	6836	abhrAtRmatI
22182	6340	abhrAvakAzin
27031	7759	abhravarSa
14462	4133	abhriya
16614	4757	abhRta
16698	4778	AbhRta
22616	6463	AbhU
23275	6650	abhUSita
1963	552	AbhUta
3248	917	abhUtarajas
24558	7019	abhUyiSTha
22053	6301	abhyadhika
6716	1914	abhyAgama
11767	3354	abhyAgAmin
2293	645	abhyAgAmin
15498	4440	abhyAgata
6877	1965	abhyAgata
5263	1490	abhyAhanana
23679	6768	abhyAhata
7121	2038	abhyAhR
24665	7050	abhyakta
8023	2297	abhyalaMkAra
4031	1136	abhyamanavat
10906	3110	abhyamitram
28029	8048	abhyAmnAya
21518	6149	abhyAnandya
24583	7028	AbhyantaranRtta
31898	9180	Abhyantaraprayatna
32753	9418	abhyanumodana
26241	7523	abhyApad
10684	3051	abhyApat
8936	2543	abhyapazri
3069	869	abhyapazri
5843	1652	abhyArambha
30447	8759	abhyardhas
17492	5008	abhyarkabimbam
31291	9004	abhyarNatA
24385	6968	abhyarNNa
2457	690	abhyArohaNIya
21316	6093	abhyarthana
12422	3548	abhyarthanIya
29005	8329	abhyarthin
28268	8118	abhyAsaGgya
24362	6960	abhyasanIya
11998	3429	abhyasUyA
12886	3676	abhyatiric
11673	3325	abhyatita
19221	5502	abhyavacar
3209	905	abhyAvadh
592	158	abhyavagAh
9226	2621	abhyavagAh
11811	3368	abhyavahArin
13083	3734	abhyavahRta
18961	5426	abhyavakrand
17216	4924	abhyavanam
25677	7353	abhyavanam
2839	803	abhyavanam
20536	5878	abhyavAs
23297	6657	abhyavaskanda
7217	2063	abhyavasyand
9962	2829	abhyavekS
9831	2797	abhyAvRtya
1196	323	abhyAyam
8885	2525	abhyAyuka
33639	9669	abhyAze
2429	681	abhyRch
28609	8214	abhyuccaya
16056	4602	abhyucchraya
16416	4700	abhyucchritakara
13297	3799	abhyudan
14536	4154	Abhyudayika
10675	3049	abhyuddravaNa
32108	9236	abhyuddRSTA
4539	1280	abhyudga
11583	3294	abhyudgatarAja
30932	8903	abhyuditazAyitA
25279	7243	abhyujji
30183	8684	abhyupagam
19920	5699	abhyupapad
14592	4169	abhyupapAdana
25922	7425	abhyupasad
14993	4289	abhyupaviz
18394	5264	abhyupetyAzuzrUSA
1406	386	abhyUSa
3619	1029	abhyUSakhAdikA
20404	5840	abhyuSTamizra
15324	4387	abhyuSya
19921	5700	abhyutkram
1158	313	abhyutkrozana
19011	5441	Abila
1734	482	abja
20851	5971	abjAda
12314	3519	abjadRz
28725	8252	abjayoni
26434	7576	abliGga
28765	8265	abodha
4000	1129	abodhagamya
6194	1759	abrahmabandhUka
20673	5917	abrAhmaNI
3397	960	abrahmatA
2005	562	abrahmavarcasin
18209	5211	abuddhatva
21101	6036	abuddhimat
20934	5993	abuddhipUrva
26225	7517	abudha
27192	7809	Abudhya
22950	6554	abudhya
644	172	ac
26890	7718	Aca
12676	3621	AcaJcala
11574	3292	AcaJcala
25587	7324	acAkrikatA
22517	6437	acakSus
2695	762	acala
29509	8477	acalabhrAtR
20094	5748	acalAdhipa
4924	1392	Acam
25589	7324	acaNDamarIci
27782	7979	acaNDI
17501	5011	acapala
7489	2138	AcArabhraSTa
3364	951	acaramavayas
4796	1357	AcAramaya
9251	2629	AcArI
13160	3756	acariSyat
8524	2432	AcArya
13203	3768	AcAryakaraNa
2053	575	AcAryakaraNa
30118	8667	AcAryasava
3699	1051	AcAryatA
21967	6277	AcAryatarpaNa
19258	5511	Acaya
11650	3318	Acayaka
19673	5628	acchAcar
18507	5301	AcchAda
15527	4449	AcchAdana
21573	6167	AcchadvidhAna
14286	4086	acchAgam
10127	2878	acchambaTkArAya
13560	3879	acchAnakS
24884	7118	acchApat
30476	8769	acchAsR
31839	9162	acchAyA
21444	6127	AcchedanI
19391	5547	acchidroktha
23333	6667	Acchinna
28043	8051	acchinnaparNa
31587	9085	Acchurita
2439	683	aceSTatA
10766	3072	Aci
13227	3774	acintita
15526	4449	acintita
29249	8400	acirarocis
3373	953	acirAt
17913	5126	Acopaca
24545	7014	AcUSaNa
4672	1322	AcyAdoha
22671	6479	acyutacyut
17183	4913	AcyutantIya
19874	5682	ada
23377	6678	adabdha
20671	5915	adabdhacakSus
1658	460	adabdhavratapramati
26554	7613	adAbhya
18302	5238	AdadhIci
14270	4082	Adagh
5127	1453	Adam
20522	5873	adAman
12297	3515	adAman
18184	5205	ADambarAghAta
5402	1536	adambhitva
17819	5101	adamya
14778	4223	adana
1235	331	AdAnI
26521	7598	adanIya
10844	3094	adanta
8042	2301	adAnta
5522	1574	adantAghAtin
24960	7138	adantya
10067	2858	adara
12871	3672	aDara
31006	8925	AdArabimbI
3925	1110	AdArin
21047	6021	adarzana
29652	8520	adarzanapatha
1905	537	adasya
20940	5994	adattvA
31932	9188	AdAya
21807	6233	Adazasya
20166	5770	adbhutadarpaNa
24663	7049	adbhutarasa
32576	9367	adbhutArtha
7007	2002	adbhutopamA
15992	4584	addhA
12355	3528	addhyAlohakarNa
16725	4787	adevaka
34544	9930	Adeya
16429	4704	adeza
25057	7174	AdezakArin
13696	3914	adhA
30815	8869	adhaHkAya
13402	3835	adhaHkriyA
3210	906	adhaHpadma
30085	8656	adhaHpravAha
29988	8625	adhaHsaMvezin
22131	6324	adhaHzAyin
13582	3885	adhaISa
32949	9474	adhama
7889	2263	adhamabhRta
6067	1722	adhAmArgava
7286	2078	AdhAnakArikA
16985	4859	AdhArAdheyabhAva
7220	2064	adhArAgraha
13013	3713	adharAk
17683	5064	AdhArakArikA
19900	5694	AdhAraNa
26228	7518	adhAraNaka
28276	8121	adharapAna
20416	5843	adharauSTha
33453	9611	adharedyus
29783	8561	adharmAstikAya
32348	9303	Adharmika
19446	5564	adharmiSTha
26040	7467	AdharSita
5505	1568	adhastAnnirbAdham
10548	3009	adhastAt
13026	3716	AdhavanIya
29595	8505	AdhAyaka
1308	353	AdhAyakatva
4049	1140	adhenu
32735	9414	AdhI
33795	9717	adhibhojana
29973	8622	adhidaivata
7717	2212	adhidaNDanetR
1689	469	adhidanta
1790	500	adhideva
17049	4878	adhidevatam
17256	4934	adhidevatam
22343	6389	adhidyo
15091	4317	adhigam
17515	5015	adhigartya
11233	3203	adhigoptR
16159	4629	Adhija
959	259	adhijanana
7446	2127	adhijigAMsu
20750	5939	AdhijJa
4059	1142	AdhijJa
4891	1384	adhijya
17351	4964	adhijya
16652	4765	ADhika
11739	3347	adhikAGga
9948	2825	adhikaraNabhojaka
5030	1425	adhikaraNaitAvattva
16233	4651	adhikaraNalekhaka
6363	1809	adhikaraNamAlA
6613	1884	adhikArastha
30110	8664	adhikArastha
23647	6758	adhikarddhi
16696	4777	adhikAritva
6917	1973	adhikarmakara
10757	3069	adhikarmakara
16729	4788	adhikarmakRta
20679	5918	adhikarmika
16498	4723	adhikatva
25246	7234	adhikR
9949	2826	adhikrama
9775	2778	adhikRtya
2494	701	adhikSip
10845	3094	ADhIlaka
20538	5879	adhilokanAtha
24735	7073	adhimAMsa
21459	6130	adhimantha
15980	4579	adhimanthana
19043	5452	adhimitratA
1418	389	adhimuhya
23592	6739	adhimuktika
6861	1958	adhinAgam
32307	9291	adhinAgam
30811	8868	adhinI
15424	4411	adhinI
31442	9046	adhinidhA
33079	9510	adhinivyadh
20702	5925	adhipradhAv
34207	9841	adhipurandhri
31261	8996	adhipUtabhRtam
4768	1350	adhirAja
16660	4767	AdhirAjya
647	173	adhirAjyabhAj
7108	2032	adhirAjyabhAj
28341	8141	AdhirathIya
11742	3347	adhirohiNI
343	89	adhisaMvRt
6233	1768	adhisaMvRt
18633	5333	adhisru
14078	4025	adhiSThAna
32553	9360	adhiSThita
904	243	Adhitsu
18620	5330	adhItya
16824	4811	adhivap
16958	4853	adhivAs
8350	2390	adhivAs
20477	5862	adhIvAsa
12065	3447	adhivAsanA
19030	5447	adhivAsin
6133	1742	adhivedam
22534	6442	adhivettR
13660	3906	adhivid
29784	8561	adhivinnA
31640	9099	adhivRj
34106	9814	adhivRkSasUrye
11238	3204	adhiyam
31128	8964	adhiyuj
26417	7570	adhiziras
20708	5927	adhIzitR
34522	9923	adhizrayaNI
21406	6118	adhodeza
527	139	adhoGga
14035	4014	adhomarman
29839	8576	adhomukha
29019	8333	adhonApita
26643	7644	adhonApita
17154	4905	adhonApita
3848	1090	adhopara
31706	9122	adhosrapitta
7499	2140	adhozvam
20638	5905	AdhRS
3320	939	adhUmaka
16788	4801	adhUnvat
24554	7018	adhvaga
33338	9583	adhvaga
14837	4241	adhvaraga
30764	8856	adhvarakalpa
29159	8376	adhvarakarman
19199	5496	adhvarakarman
1504	417	adhvarasamiSTayajus
17567	5028	adhvareSThA
11007	3140	adhvaryu
4630	1308	adhvaryuveda
99	24	Adhvasta
12020	3435	adhvazalya
16474	4716	ADhyacara
34327	9872	adhyadhi
29857	8582	adhyagnyupAgata
8873	2522	ADhyakulIna
15677	4494	ADhyaMkaraNa
25762	7379	adhyardhakaMsa
31092	8955	adhyardhakArSApaNika
12050	3444	adhyardhapAdya
13815	3951	adhyardhapratika
29526	8484	adhyardhaviMzatikIna
7784	2235	adhyardhazANa
23801	6802	adhyAsita
17066	4883	ADhyatA
7019	2006	adhyAtmavidyA
2023	568	AdhyAtmika
6683	1905	adhyavaruh
9025	2568	adhyavasAyin
26301	7540	adhyavasiti
2701	763	adhyayanasaMvRtti
27041	7761	adhyayanIya
16384	4692	AdhyAyika
11131	3178	AdhyazvIya
22877	6532	adhyoDha
15222	4351	adhyRdh
12256	3504	adhyuddhR
28869	8293	adhyUh
18901	5411	adhyupekSA
4404	1242	adhyupekSA
21728	6211	adhyupekSA
27010	7753	adhyuSTra
31770	9143	adhyuSTra
10738	3064	AdI
4297	1213	ADI
1877	529	AdikezavASTaka
27163	7798	adIna
13426	3844	adiprabhRti
34417	9897	adipsat
2648	748	AdipurANa
5710	1620	adIrgha
32325	9295	adIrghadarzin
10752	3068	Adisvarita
25342	7258	Aditva
7815	2246	Aditya
16843	4816	Adityagati
32212	9264	AdityamaNDala
19336	5532	AdityaparNin
31333	9015	Adityatva
26113	7486	Adityavarman
1334	361	Adityavrata
100	24	Adityazayana
8814	2505	AdivArAhatIrtha
16687	4774	adivAzin
28088	8064	AdiyogAcArya
33609	9657	Adiz
2316	650	admara
20523	5874	admasadvan
31596	9088	adRDha
33900	9749	adri
24548	7015	adrikarNI
29421	8454	adrikIlA
30682	8833	adrinandinI
18978	5431	adrisAra
30640	8819	adritanayA
27915	8014	adritanayA
606	161	adrogham
28335	8138	adroghavAc
10271	2921	adRpita
9337	2651	adRSTaja
25996	7452	adruh
1074	293	aducchuna
7028	2008	Aduh
34403	9891	adUrAt
31563	9080	adurga
5067	1436	adurga
10407	2964	adurga
22540	6444	adurmakha
6386	1817	adUSita
32827	9442	aduSTatva
33319	9579	advaitabrahmasiddhi
14224	4069	advaitadIpikA
18773	5376	advaitamakaranda
21227	6070	advaitamakaranda
15404	4407	advaitAnanda
18506	5301	advaitena
24579	7025	ADval
22818	6517	ADvAlana
20672	5916	advaya
186	51	advayavAdin
33170	9536	advayu
19124	5475	advija
13202	3768	Adya
28644	8227	adyadina
18533	5309	AdyAdya
19893	5692	adyAgreNa
25674	7352	Adyanta
31083	8953	adyasutyA
19127	5476	adyAvadhi
10774	3076	adyazva
25323	7253	Adyota
27355	7854	ag
8450	2412	ag
31228	8987	Aga
8424	2406	Agadhita
31210	8983	agadita
30511	8781	agAlita
10345	2943	agama
24102	6883	AgamakaumudI
22162	6333	AgamanirapekSa
15833	4541	AgamApAyin
28477	8177	Agamavat
1476	408	Agamazruti
4246	1195	Agantavya
29601	8507	Agantavya
6474	1843	AgAra
16368	4688	Agara
6259	1775	agAradAhin
31186	8978	AgAragodhikA
28279	8122	agartaskandya
22551	6447	Agas
4655	1318	agastIya
24459	6989	agastyacAra
6099	1730	agastyodaya
2173	612	Agata
25041	7167	AgatAgama
4135	1163	Agatanandin
261	70	agatAsu
29948	8613	agatIka
31127	8964	aGgabhaJjana
14759	4218	aGgabheda
26769	7683	aGgAGgibhAva
25747	7374	aGgaja
5516	1571	AGgaka
23353	6673	aGgakartana
11492	3274	aGgamardaka
14584	4167	aGgaprAyazcitta
17785	5093	aGgApUrva
5638	1602	aGgArajIvikA
20743	5936	aGgarakta
30361	8735	aGgArakuSThaka
28584	8207	aGgAraparNI
5360	1525	aGgayaSTi
4889	1384	aGghrisaMdhi
6605	1881	aGgIkaraNa
25882	7413	aGgir
4897	1385	aGgir
23104	6602	aGgira
33985	9774	AGgirasapavitra
28595	8211	aGgIya
10350	2944	aGgulIgranthi
13779	3940	aGgulimukha
14399	4117	aGgulIparvan
14743	4214	aGguliprAzana
23763	6787	aGgulitra
4257	1200	aGguSThamAtraka
23667	6765	aGguSThavibhedaka
30994	8923	aGguSThikA
1013	274	AGgya
32224	9267	agh
31144	8967	Aghargharam
26120	7487	agharikA
14210	4066	aghArin
20500	5868	AgharSaNa
462	119	AgharSaNI
28929	8309	aghAsaka
5259	1489	aghAta
23696	6771	AghaTTaka
20263	5799	AghaTTalikA
15425	4412	AghaTTalikA
22177	6337	AghaTTana
10634	3039	aghAya
30402	8745	aghAyu
25576	7321	aghazaMsahan
26870	7713	aghorapathin
22604	6460	aghorapramANa
6041	1715	aghoSa
26605	7631	aghUrNa
17776	5091	agira
24230	6920	agIta
32482	9340	aGkaccheda
26772	7683	aGkagata
22045	6299	aGkAGka
15884	4554	aGkAra
17888	5120	aGkasa
26363	7557	aGkasaMjJA
31592	9087	aGkAsya
1106	301	aGkAvaGka
25464	7290	aGktvA
1656	460	aGkuDaka
4619	1305	aGkura
3552	1010	aGkura
9034	2571	aGkUra
3942	1114	aGkUSa
24045	6865	aGkuTa
24370	6964	aGkuza
25565	7318	AGkuzAyana
29359	8434	aGkuzI
10512	2998	AglA
30634	8818	agnibhrAjas
34007	9782	agnibhrAjas
629	167	agnibIja
15414	4409	agnicayana
561	149	agnidAha
14019	4008	agnidevA
17950	5135	agnidhAna
29923	8608	agnIdhra
12260	3505	agnidIpta
9997	2840	agnigarbha
9271	2633	agnihoma
30074	8651	Agnihotrika
21410	6119	agnihut
32661	9390	agnihuta
4204	1183	agnihvara
26307	7541	agnikRta
24194	6907	agnimadana
33588	9652	agnimantha
25052	7171	agnimAruti
10193	2899	agnimitra
13330	3811	agnipada
9784	2780	agniparicchada
24157	6898	agnIparjanyau
4861	1376	agniparvata
29015	8332	agnipurogama
3910	1106	agniputra
30689	8836	agnirajas
31097	8956	agnisakha
32200	9261	agnisaMcaya
18509	5303	agnisaMcaya
8055	2306	agnisaMkAza
6024	1709	agnisAt
7444	2127	agnisava
18075	5173	agnISomIya
27962	8027	agnisthala
14929	4268	agniSTomahotra
5239	1485	agniSTomasadya
12420	3548	agniSTomasAma
11127	3176	agnisUtra
10204	2903	agnisvAtta
20246	5796	agnitanu
20827	5965	agnitapas
16215	4647	agnituNDa
12702	3629	agnivANa
3730	1058	agnivarcas
25338	7257	agniveza
27624	7928	agniveza
14434	4125	Agnivezi
17140	4902	Agnivezya
27607	7923	agniyojana
33849	9733	agnizAla
3921	1109	agnyAdhAna
30387	8741	agnyutpAta
22445	6419	agocarIkR
24768	7082	Agomuc
10936	3119	AgopAla
11642	3314	agradevI
14898	4258	agradharma
12042	3442	agraga
13361	3818	agragrAsikA
34091	9810	agragrAsikA
7779	2233	agrAhin
11838	3376	agrajyA
5989	1701	agrajyA
23086	6597	agrakAya
30017	8634	agranAsikA
20367	5831	Agranthana
19145	5480	agrapANi
11275	3214	agraprazIrNa
17479	5004	AgrayaNI
15390	4404	agrAyaNIya
21897	6258	agrayAyin
22842	6523	agRbhIta
15289	4373	agRbhIta
7653	2192	agre
29487	8471	agrebhrU
34533	9925	agresara
26171	7503	agretvan
21036	6018	agRhatA
14131	4042	agru
19045	5453	agu
33370	9590	agUDhabhAva
27988	8038	agUDhabhAva
20555	5884	aguNatA
15154	4333	aguNavAdin
15834	4541	AgUrNa
16299	4670	ahabhUna
4582	1295	ahabhUna
11940	3408	ahaha
9426	2678	ahaHsAman
14954	4277	ahaHzeSa
9839	2798	ahaituka
16090	4610	ahaitukam
3131	884	ahala
4473	1262	Ahalak
30614	8811	ahalyAjAra
15043	4301	ahamagrikA
5059	1433	ahaMkAra
3448	976	AhaMkArika
28336	8139	ahammamAbhimAna
31976	9201	ahampadArtha
3424	968	ahamuttaratva
3437	973	ahaMyu
32220	9266	ahaMzreyasa
8510	2429	Ahanas
554	147	AharakaraTA
23088	6598	AharaNIkR
16679	4772	AharanivapA
16987	4859	aharaNIya
19134	5478	AharavanitA
33652	9673	AharavitanA
19524	5582	ahardala
24740	7074	ahardiva
28400	8156	aharIta
19969	5711	aharmaNi
11671	3325	aharmukha
5938	1683	AhartR
20126	5757	Ahary
925	250	ahAryatva
17923	5129	ahasta
19065	5457	Ahata
33610	9657	Ahavazobhin
30797	8863	ahazzas
13864	3966	ahetuvAdin
25901	7419	ahetuvAdin
23008	6572	ahetuvAdin
20696	5922	ahibhAnu
27064	7772	ahijit
16954	4851	Ahika
18650	5337	ahikSatra
4474	1263	ahima
1399	383	ahimakiraNa
21570	6167	ahimAMzu
7462	2132	ahimAraka
21854	6246	ahimaruci
24812	7094	ahiMkRti
17406	4982	ahiMsaka
22073	6307	ahiMsAnirata
9586	2721	ahiMsrA
33844	9732	ahInAha
29342	8429	ahirbudhnya
19061	5456	Ahirbudhnya
25336	7257	ahirbudhnya
15753	4515	AhitAgni
5252	1487	ahitakArin
5391	1534	ahitanAman
33931	9760	Ahitasamitka
17976	5141	ahitecchu
15187	4343	ahIvatI
23537	6722	ahizuSmasatvan
11292	3218	ahIzuva
29464	8464	ahIzvara
27138	7792	AhlAdaka
33523	9632	AhlAdaka
2129	599	AhlAdaka
28447	8169	AhlAdin
33820	9722	ahorathantara
34595	9947	ahorAtra
31641	9100	ahotR
6236	1769	ahovIrya
26439	7577	AhR
11338	3232	ahraya
4499	1269	ahRdayajJa
5366	1526	ahRdya
25987	7449	ahRNIyamAna
17868	5113	AhRS
22952	6555	AhRtayajJakratu
29797	8564	AhRti
19811	5666	AhRtya
26533	7602	ahruta
27148	7794	ahu
31280	9002	AhukI
12573	3591	AhukI
12593	3598	AhUtavya
11668	3324	AhUtavya
11714	3339	AhutI
14168	4051	AhutikRta
18921	5415	Ahutimaya
17782	5092	Ahutivat
15303	4378	AhvAnaya
10972	3129	Ahvara
4663	1320	AhvAraka
4104	1154	AhvAyaka
12216	3493	aidaMparya
8621	2457	aikabhautika
27336	7848	aikagavika
10959	3126	aikAgnika
19143	5480	aikalavya
15749	4514	aikarAjya
17842	5107	aikarAtrika
28711	8247	aikarAtrika
119	29	aikarAtrika
32225	9267	aikavarNika
17063	4883	AIkS
19580	5600	aikyAropa
3667	1043	ailadhAnI
4366	1232	ailavAluka
34655	9968	aindrAdRza
2786	788	aindradyumni
25672	7350	aindrAgnya
25210	7222	aindrajAlika
25829	7397	aindralAjya
13724	3922	aindraluptika
8303	2374	aindramahika
12928	3688	aindramAruta
28216	8104	aindrApauSNa
10300	2931	aindrAvasAna
27370	7858	aindravAyava
12822	3659	aindrAyaNaka
32869	9454	aindrI
6452	1835	aindriya
21006	6010	ainduzekhara
24423	6979	aiNikIya
429	110	aiNikIya
13285	3796	ainvaka
12128	3467	airAvatI
